tip,date,group
107_2021_aqp12,2021.213699,aqp
1101786_meta-illumina,2011.230137,puno
1101787_meta-illumina,2011.167123,puno
1203037_meta-illumina,2012.349727,puno
126_2021_aqp14,2021.243836,aqp
145_2022_aqp14,2022.435616,aqp
147_2021_aqp12,2021.29589,aqp
147_2022_aqp14,2022.438356,aqp
158_2022_aqp14,2022.468493,aqp
172_2022_aqp14,2022.515068,aqp
173_2023_aqp14,2022.526027,aqp
202_2021_aqp12,2021.449315,aqp
219_2022_aqp14,2022.663014,aqp
231_2021_aqp14,2021.534247,aqp
236_2022_aqp12,2022.682192,aqp
250_2021_aqp12,2021.605479,aqp
251_2021_aqp12,2021.605479,aqp
30_2021_aqp14,2021.09589,aqp
31_2021_aqp14,2021.10411,aqp
34_2021_aqp12,2021.109589,aqp
40_2021_aqp14,2021.123288,aqp
52_2021_aqp12,2021.147945,aqp
56_2021_aqp14,2021.156164,aqp
61_2021_aqp14,2021.161644,aqp
68_2021_aqp12,2021.167123,aqp
71_2021_aqp12,2021.175342,aqp
73_2021_aqp12,2021.175342,aqp
90_2021_aqp14,2021.194521,aqp