seq_id,run_id,year,sample_collection_date,outbreak_place,region,province,district,locality,case,long,lat
107_2018_illumina,illumina,2018,25-Mar-18,Arequipa,Arequipa,Arequipa,Cerro Colorado,M. Vargas Llosa,,-71.56632,-16.35346
107_2021_aqp12,aqp12,2021,20-Mar-21,El Pedregal,Arequipa,Caylloma,Majes,El Pedregal,6,-72.17553218,-16.30828596
1101786_meta-illumina,meta-illumina,2011,26-Mar-11,Puno,Puno,Azangaro,Caminaca,San Pedro,,-76.54242187,-15.70530843
1101787_meta-illumina,meta-illumina,2011,3-Mar-11,Puno,Puno,Azangaro,Caminaca,San Sebastian,,-70.1018,-15.2419
1203037_meta-illumina,meta-illumina,2012,8-May-12,Puno,Puno,Puno,Atuncolla,Ticanipampa,,-70.1052,-15.6931
121_2019_illumina,illumina,2019,22-Apr-19,Arequipa,Arequipa,Arequipa,Cerro Colorado,M. Vargas Llosa,,-71.54525,-16.316534
126_2021_aqp14,aqp14,2021,31-Mar-21,Arequipa,Arequipa,Arequipa,Cerro Colorado,Av cerrillos,,-71.56522805,-16.32355472
145_2022_aqp14,aqp14,2022,9-Jun-22,Arequipa,Arequipa,Arequipa,Cerro Colorado,JLByR sector 5,,-71.54642208,-16.31336532
147_2021_aqp12,aqp12,2021,19-Apr-21,El Pedregal,Arequipa,Caylloma,Majes,El Pedregal,7,-72.18179114,-16.32494862
147_2022_aqp14,aqp14,2022,10-Jun-22,Arequipa,Arequipa,Arequipa,Yura,Perlas de Yura,,-71.64023135,-16.28942697
158_2022_aqp14,aqp14,2022,21-Jun-22,Arequipa,Arequipa,Arequipa,Jacobo Hunter,Tingo Grande,,-71.57648403,-16.45532977
172_2022_aqp14,aqp14,2022,8-Jul-22,Arequipa,Arequipa,Arequipa,Cayma,Los Pioneros,,-71.525222,-16.30329
173_2023_aqp14,aqp14,2022,12-Jul-22,Arequipa,Arequipa,Arequipa,Jacobo Hunter,San Juan de Dios,,-71.554181,-16.448238
182_2019_illumina,illumina,2019,16-Jun-19,Arequipa,Arequipa,Arequipa,Alto Selva Alegre,Avis Cruce Chilina,,-71.526245,-16.373264
202_2021_aqp12,aqp12,2021,14-Jun-21,El Pedregal,Arequipa,Caylloma,Majes,El Pedregal,8,-72.20092481,-16.3489947
219_2022_aqp14,aqp14,2022,31-Aug-22,Arequipa,Arequipa,Arequipa,Characato,Yanayaco,,-71.487187,-16.477589
231_2021_aqp14,aqp14,2021,15-Jul-21,Arequipa,Arequipa,Arequipa,Cerro Colorado,JLByR sector 5,,-71.6040233,-16.33422596
236_2022_aqp12,aqp12,2022,7-Sep-22,El Pedregal,Arequipa,Caylloma,Majes,El Pedregal,11,-72.19504,-16.335434
250_2021_aqp12,aqp12,2021,10-Aug-21,El Pedregal,Arequipa,Caylloma,Majes,El Pedregal,9,-72.19833388,-16.38321775
251_2021_aqp12,aqp12,2021,10-Aug-21,El Pedregal,Arequipa,Caylloma,Majes,El Pedregal,10,-72.17306338,-16.31916435
30_2021_aqp14,aqp14,2021,5-Feb-21,Arequipa,Arequipa,Arequipa,Yura,Ciudad de Dios,,-71.6234,-16.293974
31_2021_aqp14,aqp14,2021,8-Feb-21,Arequipa,Arequipa,Arequipa,Cerro Colorado,Las Flores,,-71.56874178,-16.32985356
34_2021_aqp12,aqp12,2021,10-Feb-21,El Pedregal,Arequipa,Caylloma,Majes,El Pedregal,1,-72.17833375,-16.32003749
3553_2010_illumina,illumina,2010,2010,Puno,Puno,Azangaro,,,,-70.11292,-15.24659
375_2017_illumina,illumina,2017,23-Nov-17,Arequipa,Arequipa,Arequipa,Mariano Melgar,Asc. Los Rosales,,-71.49501346,-16.39657603
40_2021_aqp14,aqp14,2021,15-Feb-21,Arequipa,Arequipa,Arequipa,Cerro Colorado,Pedro P. Diaz,,-71.55359419,-16.31982398
52_2021_aqp12,aqp12,2021,24-Feb-21,El Pedregal,Arequipa,Caylloma,Majes,El Pedregal,2,-72.18033884,-16.3277413
56_2021_aqp14,aqp14,2021,27-Feb-21,Arequipa,Arequipa,Arequipa,Yura,Altiplano Profundo,,-71.63340684,-16.311133
560_2015_illumina,illumina,2015,7-Sep-15,Arequipa,Arequipa,Arequipa,Mariano Melgar,Psje Sr. De Huanca MZ2 L6,,-71.49618517,-16.40255789
61_2021_aqp14,aqp14,2021,1-Mar-21,Arequipa,Arequipa,Arequipa,Cerro Colorado,Lomas Grupo 3,,-71.63603084,-16.36436253
68_2021_aqp12,aqp12,2021,3-Mar-21,El Pedregal,Arequipa,Caylloma,Majes,El Pedregal,3,-72.17536,-16.307302
71_2021_aqp12,aqp12,2021,6-Mar-21,El Pedregal,Arequipa,Caylloma,Majes,El Pedregal,4,-72.180824,-16.310675
73_2021_aqp12,aqp12,2021,6-Mar-21,El Pedregal,Arequipa,Caylloma,Majes,El Pedregal,5,-72.17603,-16.333763
90_2021_aqp14,aqp14,2021,13-Mar-21,Arequipa,Arequipa,Arequipa,Yura,Camineros,,-71.60477884,-16.3124546